Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO27,OUT035,1734.4791849662602
DRL23,OUT027,3174.110860802594
FDS28,OUT046,926.6515571511497
FDX24,OUT013,1569.0958560858166
FDZ02,OUT035,1695.2784500791588
FDL46,OUT045,1778.6536489091725
FDS60,OUT027,4339.080440506431
NCO06,OUT017,642.033214318283
FDO16,OUT035,1520.0309159755827
FDC60,OUT049,1533.8204562861445
FDA48,OUT018,3252.5827021626164
FDZ36,OUT027,4501.377351350545
FDK27,OUT045,1894.78277043744
FDW23,OUT018,415.38866058239705
FDM14,OUT018,1546.7077304240236
FDM14,OUT013,1816.8000164313737
FDW60,OUT018,2643.9235772525585
FDE21,OUT013,1980.8653115564484
NCM42,OUT035,1878.3384769242673
FDY59,OUT010,-394.04021563786046
DRI49,OUT049,1376.3090539793945
FDT28,OUT019,502.61058392881296
FDQ22,OUT018,413.47564072932687
FDR60,OUT049,1247.8135305374385
FDC50,OUT019,-466.32544809607907
FDV24,OUT013,2483.8485702338894
DRF48,OUT010,1085.8450420803235
FDQ47,OUT046,630.2500065451243
DRN36,OUT049,1740.5080377610716
NCY06,OUT035,2170.7413627223627
FDE52,OUT035,1588.5564100407046
NCB54,OUT045,1935.3118524635593
NCF31,OUT035,2550.960186431913
FDJ08,OUT027,4538.22312597996
NCC07,OUT017,1802.318588344795
NCD19,OUT027,2343.145931360312
FDL46,OUT049,1988.4622739543313
FDM20,OUT045,3871.690290260358
NCI06,OUT010,918.5185742842999
DRM11,OUT035,4218.119844217763
NCH07,OUT018,2248.9464076160825
FDS23,OUT013,2138.815173510707
FDO49,OUT018,680.4609705540113
FDS35,OUT049,1161.4635277811979
DRK39,OUT045,1211.3312407923856
DRI39,OUT049,989.6702675493618
FDV04,OUT017,2662.8023735296506
NCN14,OUT035,3022.5191130150274
FDH08,OUT013,3781.883267146027
FDS20,OUT046,2938.9005486301835
FDV40,OUT049,1312.311801774475
FDZ48,OUT010,-149.82190942132775
FDS24,OUT027,2939.7684565642467
FDK44,OUT049,2896.9998503172005
FDS48,OUT045,2335.094077428075
FDK26,OUT010,1105.0170692989848
FDD23,OUT045,2961.5822957589353
NCH54,OUT017,2590.671661849408
NCP14,OUT010,-258.42745322513156
FDM60,OUT010,-1218.6048741181412
FDV24,OUT017,2540.80351714276
FDH08,OUT018,3445.9121228205295
FDS12,OUT027,3512.4673028286275
FDR39,OUT027,4386.544775451169
FDP12,OUT027,2141.80261660161
DRF60,OUT027,5229.063187889597
FDC09,OUT035,1886.2146261942064
FDF50,OUT018,3008.251285882534
FDG28,OUT035,4047.6931455053505
NCE19,OUT017,1000.1071040007059
NCM53,OUT010,-203.64083620534757
NCN18,OUT049,1847.7295797431416
FDF32,OUT035,3354.22685603986
FDF11,OUT013,3907.245292141719
DRI59,OUT049,3627.242165854401
NCG54,OUT035,2810.264897124762
FDM44,OUT046,1661.3225967505246
FDT57,OUT018,3500.138437018185
FDV24,OUT046,2392.2561386416196
FDI50,OUT019,1764.5893049143076
FDS09,OUT035,1011.2663998723444
NCC31,OUT027,3923.549413622743
FDQ07,OUT019,1645.8355845114988
FDC22,OUT017,3188.121037931266
FDZ56,OUT046,2726.727914160081
FDZ40,OUT019,-1016.9811273956352
FDS46,OUT027,3406.485275398232
DRD24,OUT045,2164.105329786187
FDV45,OUT017,3121.5681365917817
FDL26,OUT045,2408.3492830507253
FDA56,OUT018,1788.063526984601
FDN27,OUT046,1907.4701069192224
FDM20,OUT049,4021.835767356702
FDO16,OUT017,1471.251904062743
FDL03,OUT035,3328.803947834297
FDE58,OUT046,1841.1754728337305
FDI02,OUT027,3321.0822856077243
NCC55,OUT019,-1361.7822276817474
FDR03,OUT018,3107.6568853939034
FDB14,OUT017,1655.4276153075352
FDR45,OUT013,3799.4733759220235
NCN07,OUT017,2188.3462259347707
FDM51,OUT019,-179.70977372019388
FDT52,OUT027,5399.484986704021
FDL26,OUT046,2445.3461252910342
NCZ42,OUT046,3743.9100772028887
DRI47,OUT019,394.15762038869457
FDW40,OUT013,2339.567008683723
FDN34,OUT046,2706.5475366217497
FDS01,OUT035,3002.371253462081
NCG55,OUT045,1751.9700773127242
FDC11,OUT035,1546.3239646705483
FDX35,OUT018,3405.8264499066972
NCB06,OUT046,2511.9752677602337
FDR09,OUT019,2193.657913809091
FDC53,OUT017,1692.637174439515
FDY45,OUT013,4100.763055477626
FDA22,OUT010,758.9743134051628
FDE02,OUT035,1681.9990540622498
FDW21,OUT045,1575.9991637962803
FDV34,OUT046,1206.6116178002399
FDS59,OUT049,1896.0889783025798
NCW17,OUT017,2160.2803650984365
NCK54,OUT046,1831.1941080878175
FDG17,OUT019,2005.9569556994454
FDG35,OUT017,2930.380261076879
FDD08,OUT010,-1235.130840245295
NCO07,OUT017,3468.2406563524296
FDJ10,OUT010,214.45481812781009
FDW36,OUT017,1806.1085545744381
FDW21,OUT010,-255.54219254301142
FDY19,OUT017,2065.2196312598107
DRE03,OUT013,798.1827927731977
NCC55,OUT049,694.5882166925014
FDH52,OUT010,-848.2755828129934
FDO09,OUT017,4329.829458741766
FDU43,OUT045,3795.677088297272
FDX09,OUT010,848.2590524474299
FDH40,OUT019,-534.357918666386
FDW58,OUT017,1798.4315451363304
FDC47,OUT017,3706.967888556387
NCR41,OUT035,1581.8489864025441
DRG49,OUT035,4021.1428088696753
FDC52,OUT027,3912.1903753708348
FDY13,OUT046,1204.3375276632953
FDY35,OUT013,852.4021936997599
FDI35,OUT017,3025.3060843690687
NCU18,OUT049,2314.1543478492695
FDY33,OUT018,2304.5097600778386
FDC15,OUT027,3928.5836368870055
FDU01,OUT049,3107.359958191536
NCU42,OUT046,2654.82293935025
NCV29,OUT018,2577.5866378984597
NCY30,OUT017,3006.342202744429
FDQ46,OUT049,1868.0786066065048
FDG58,OUT027,3955.13716750983
FDK33,OUT017,3505.1498366420938
NCD07,OUT045,1742.657211134599
NCX29,OUT027,3766.3562544138904
NCT42,OUT013,2404.4640879188955
DRN59,OUT035,868.1752132041929
FDI44,OUT035,1464.8147332682684
FDA45,OUT049,2890.880206929878
FDP31,OUT045,1051.9153908702428
FDY01,OUT046,1853.5076303361823
FDT09,OUT018,1916.149839308683
DRH03,OUT027,2975.8786138083533
FDA36,OUT018,2748.0989918294977
NCF31,OUT017,2542.92354315333
FDG14,OUT049,2550.3719352199246
FDG28,OUT027,5408.573553564104
FDU14,OUT049,4008.8435974172776
FDY47,OUT019,248.13453499596562
FDI56,OUT049,1588.3210530859844
DRD01,OUT013,1018.6804804539813
FDM22,OUT046,913.5676243766043
FDH33,OUT013,740.3526512166493
DRZ24,OUT013,1952.2563720858122
NCQ38,OUT046,1656.6408230510924
FDO16,OUT027,2845.091871288348
FDU07,OUT027,3911.092382464957
NCB07,OUT013,3114.9522013959245
FDU48,OUT045,2036.447165673306
NCM43,OUT045,2535.08974214713
FDR31,OUT010,469.3267696583225
DRK49,OUT018,445.22944546781287
NCI30,OUT010,1920.4156654240255
DRD60,OUT017,3005.886001730488
NCG19,OUT046,3660.8244808252894
FDH12,OUT035,1763.474504049915
FDM32,OUT035,1675.6685035415371
FDM27,OUT035,2688.356328885087
NCU53,OUT027,4117.11913711152
NCQ18,OUT046,1528.485031275962
FDS10,OUT013,2900.381607993367
FDB33,OUT027,4047.423340740394
FDI12,OUT013,1485.697023346084
NCW42,OUT013,3541.076002090277
NCC06,OUT018,1790.6854830974755
FDW02,OUT017,2138.1573910743286
NCD43,OUT017,1779.1135480833884
FDM57,OUT018,1124.4811922580275
FDA58,OUT017,3862.470330376362
FDK56,OUT046,2959.185151254964
FDP52,OUT045,3625.6168460609915
FDW20,OUT018,1722.0797027036485
FDS52,OUT049,1708.8652588944465
NCT29,OUT018,1663.0718375065721
NCL54,OUT013,2835.423022015513
FDC05,OUT045,3093.7902172890495
FDF34,OUT035,3306.6558310146975
FDP03,OUT027,3545.694972094005
FDD32,OUT010,-491.6847320258844
FDZ10,OUT045,1954.5310780151399
FDZ40,OUT035,1036.1732771215793
FDD51,OUT018,432.60280127829105
NCY30,OUT019,930.8157904578318
FDP58,OUT017,3485.232754638605
FDV49,OUT017,4329.093882853527
FDY24,OUT019,-1021.5191970310857
NCO55,OUT017,1822.0766127649597
FDR13,OUT017,2048.958752344446
FDS51,OUT017,1177.476039767205
FDP26,OUT045,1543.6372031084102
NCB54,OUT027,3535.1243116376763
FDF32,OUT017,3302.256756691992
FDN31,OUT018,2812.9612822055074
DRM48,OUT017,717.245072346085
FDN20,OUT049,2829.3562591467366
DRL01,OUT046,3716.713441527504
FDV56,OUT049,1900.0784767729447
DRH13,OUT027,3214.917127128972
FDA03,OUT017,2441.775236300512
FDF47,OUT027,5033.942218335299
FDX32,OUT046,2391.997611116155
FDX57,OUT049,1665.8045251946378
NCA30,OUT045,2827.6942837466486
FDO49,OUT013,983.5078805385126
FDL04,OUT019,-235.39529219022643
DRM48,OUT035,756.7133264550248
FDR16,OUT013,3458.155725972547
NCC19,OUT018,2787.1811973735257
NCE42,OUT045,3626.164781293681
FDY24,OUT017,1060.6717513810188
FDH19,OUT049,2916.1837417316697
FDJ46,OUT013,2811.617379721685
FDN45,OUT010,1606.799854535297
FDY08,OUT035,2447.216464359922
FDZ37,OUT035,1600.6927834668584
NCT30,OUT045,593.3603933545992
DRY23,OUT018,483.0290976099311
NCZ30,OUT018,1686.4220367991381
FDC44,OUT018,1605.1504100079908
FDB45,OUT035,1878.5013078988377
FDY04,OUT013,2694.9561236098507
FDM27,OUT046,2453.2531684812398
FDZ43,OUT017,4034.364157650521
FDT39,OUT019,585.428316835402
NCC06,OUT019,27.35464836128631
FDL15,OUT027,3968.5739623939317
FDL57,OUT017,4227.216272173899
FDU08,OUT046,1620.452292713779
FDK40,OUT017,4312.6237382101135
FDQ12,OUT010,1723.1290941260672
FDS48,OUT017,2548.765093929772
FDP09,OUT045,3274.6799442528827
FDW21,OUT049,1716.7311768280792
FDY25,OUT035,3042.200792556311
DRE13,OUT017,1510.6138388398488
FDV43,OUT019,-1153.241870931086
FDD22,OUT045,1692.7209276924143
FDM46,OUT019,-453.748205259461
NCO30,OUT010,995.614967428784
FDM25,OUT046,2848.7410984122503
NCN41,OUT049,2037.429161869198
FDU24,OUT045,1453.375657531029
FDZ50,OUT046,2889.161421408397
FDP45,OUT013,4073.529417698966
NCM54,OUT045,1905.4778293979275
FDW10,OUT019,869.5402397311448
FDP20,OUT017,2219.006533311337
FDK32,OUT046,2472.4962706074907
FDN52,OUT049,1524.2283249372135
FDM58,OUT045,1733.4304429075466
FDZ46,OUT027,3247.6398307607124
NCA18,OUT018,1608.4544423713644
FDD35,OUT046,1941.778243984806
NCK31,OUT035,949.1089877328357
FDI40,OUT027,3121.3565573024266
FDT50,OUT019,-354.6265749731183
NCT06,OUT046,2574.013308828421
FDT31,OUT035,3186.2720952580084
FDT45,OUT049,947.0948390876586
FDT13,OUT045,2910.2953667864695
FDO50,OUT045,1391.4432729065109
NCU18,OUT010,293.4894034260519
NCR54,OUT049,3149.3055821164558
NCO18,OUT018,2571.576777551615
FDU09,OUT045,865.9751865695441
FDT13,OUT018,2759.3453363261347
FDE09,OUT046,1834.0004750667233
NCK53,OUT019,-289.23566615036907
FDG45,OUT049,3531.674620633544
DRH15,OUT035,840.4726505205476
FDO21,OUT019,1688.6256654216645
FDD14,OUT027,4330.326147356872
FDC09,OUT046,1718.6013501117804
FDH45,OUT027,2277.758820112652
FDV32,OUT046,1082.7254881811996
FDG12,OUT035,2109.625545104027
FDS32,OUT013,2386.8231290155454
NCL55,OUT018,3720.899469488212
DRE01,OUT035,3984.1506303748542
DRE15,OUT049,1297.1426517830969
NCL42,OUT045,3802.371213034266
FDP31,OUT013,1167.9967999301637
FDN33,OUT018,1283.5010838621338
FDZ59,OUT046,2642.340550393405
FDE45,OUT010,965.015006372544
FDJ07,OUT013,2002.3013154280357
FDQ45,OUT018,2728.1282761511525
FDM33,OUT027,4943.937756302913
FDO15,OUT010,-612.6525820167376
FDM46,OUT013,1523.973245460235
FDR03,OUT045,3263.3087735686354
FDY49,OUT018,2465.2470208723116
FDQ60,OUT045,1858.8928207407844
FDW10,OUT049,2885.183153930159
FDO51,OUT049,902.8795634475939
FDJ40,OUT018,1541.46471894898
FDS20,OUT018,2708.5995054136934
FDU45,OUT013,1892.2286944181683
FDV02,OUT035,2797.07056736314
FDN09,OUT046,3810.4680231725306
NCM55,OUT027,4430.842953166838
FDN23,OUT018,2123.719851341215
FDY31,OUT010,446.06811523522924
FDW03,OUT010,-130.06738813271386
FDD14,OUT046,2884.415143239618
FDV23,OUT017,2148.0659784376166
DRI03,OUT045,2677.8826214377023
FDN13,OUT035,1793.675760752784
FDF45,OUT027,2552.9946484109423
FDU46,OUT035,1591.6449051963032
FDB57,OUT049,3703.3361785120596
FDV12,OUT049,1742.784160589701
FDQ58,OUT013,2468.738428206977
NCA18,OUT017,1954.4134972105085
FDH52,OUT049,1133.192431634188
FDM24,OUT018,2198.2825045817217
NCP43,OUT027,4350.468951714126
NCO18,OUT019,882.1374894330479
FDM32,OUT017,1573.279367669541
NCL07,OUT017,746.1322820556259
FDK03,OUT013,4061.9921955731065
FDP59,OUT017,1822.315436563083
FDQ24,OUT049,4075.4931946589036
FDQ16,OUT018,1516.7950767423508
FDU44,OUT013,2704.771629178039
FDH28,OUT010,-1261.4360740333886
FDV28,OUT019,-1303.6815470517136
FDM22,OUT045,830.0304784729585
FDR56,OUT046,3169.6312003755356
FDV39,OUT049,3258.586220769256
FDU37,OUT019,-568.9288354241498
FDQ11,OUT010,2213.164060589002
FDX02,OUT045,3418.8050829194067
NCS42,OUT018,1221.8030944315615
FDY57,OUT027,3021.8313980044845
FDB21,OUT049,3954.3678727496326
FDE28,OUT017,3792.0592469719686
FDQ55,OUT017,2034.0904960951511
FDA48,OUT049,3616.457344214192
FDZ19,OUT045,2736.466386095981
NCC43,OUT045,3881.630277345877
NCV18,OUT046,1266.2542833795512
NCA42,OUT018,2271.7090787572993
FDY45,OUT046,4031.276277025819
NCC30,OUT045,2735.998328629654
FDM57,OUT013,1462.070931214162
FDL09,OUT010,733.3462510302847
FDB09,OUT027,3528.313116034801
FDT44,OUT035,2088.62736714365
NCT06,OUT027,4072.2015077183423
FDX26,OUT049,2951.1156401540097
FDK32,OUT013,2446.914927501284
DRA12,OUT046,2259.6730102668807
FDO46,OUT010,1101.085762072597
FDE52,OUT013,1457.6286939198728
NCH42,OUT045,3543.382884540082
FDV08,OUT035,900.1683545264693
FDB47,OUT018,3092.1430623916176
FDC28,OUT010,-151.8430987423494
FDD22,OUT046,1784.623225984586
FDS07,OUT027,3371.106661217035
DRI13,OUT045,3362.7230680446323
FDG32,OUT018,3322.5471717249147
FDU14,OUT017,4049.002207419179
FDD28,OUT019,-944.7613211617977
NCP41,OUT017,1873.6597462381887
FDS08,OUT049,2922.5077963013446
FDX47,OUT045,2490.229062685261
FDC53,OUT019,-277.9114618102708
FDQ19,OUT035,4062.085696155193
FDL14,OUT045,2441.301088931121
FDM33,OUT019,1509.351134097541
FDA51,OUT045,1709.3301277886976
FDZ27,OUT018,527.9815381995024
FDT04,OUT046,578.5504421915587
DRC13,OUT049,2122.7256147774324
FDR16,OUT027,4915.900912477702
FDQ03,OUT027,5296.081547798263
FDE38,OUT035,2833.377302137852
DRH23,OUT027,2362.386972560827
FDT11,OUT019,1143.9598231477507
FDD09,OUT035,3058.350614925411
FDR40,OUT045,1288.1043705686043
FDX07,OUT017,3131.7173948807203
FDR07,OUT035,1748.9300021189388
FDA51,OUT017,1932.4890622498128
FDT59,OUT019,1778.3181731956033
FDF20,OUT017,3277.1709034139058
FDR13,OUT045,1813.165847290269
FDY26,OUT049,3418.550525561087
FDW04,OUT017,2236.357698200678
FDK52,OUT017,3715.5135885960744
FDN60,OUT049,2592.3259801342265
FDM09,OUT019,831.481198827925
FDP46,OUT049,1489.85844921763
FDB50,OUT019,-640.8554153246464
NCQ29,OUT049,4162.399473470663
FDP16,OUT027,5371.671634393163
FDX33,OUT018,2344.014848584759
FDP07,OUT010,1169.1524096630599
FDN22,OUT046,3966.7515426197574
FDF39,OUT049,4233.071451500069
FDS21,OUT017,1146.8392052378056
NCM42,OUT013,1684.3953268775622
FDK50,OUT019,719.575761313074
DRF13,OUT027,3828.9840150095415
FDH35,OUT018,2376.4005821084625
FDP60,OUT018,1367.8804575877953
DRJ49,OUT027,3568.557647796457
NCT42,OUT019,440.867044239649
FDE38,OUT049,2772.6488504370427
FDI04,OUT049,3272.846780878838
NCH54,OUT045,2400.6688596058293
FDT56,OUT049,1124.1269452882013
DRD15,OUT018,3401.835951819754
FDV58,OUT013,3136.7479056165143
FDP21,OUT049,3093.613598347518
FDH05,OUT013,3778.9146847807096
FDR10,OUT027,4053.6426074739848
NCP06,OUT045,2271.4756031154348
FDF33,OUT049,1929.670894854598
DRK37,OUT013,3063.9025731305646
DRH49,OUT045,1283.602997072855
FDT58,OUT013,2712.225153446251
FDD41,OUT018,1467.1944452548423
FDP40,OUT018,1571.714249245354
FDM51,OUT027,3194.671634943026
FDO45,OUT010,-499.07604441312833
FDW33,OUT010,-236.32780770939007
FDY24,OUT045,864.0300130314397
FDB10,OUT010,1827.9796571825518
FDM40,OUT035,2388.5466187407546
NCI06,OUT017,2973.6722687437505
FDW12,OUT019,437.5682686512671
FDX48,OUT027,3999.800897225054
NCW05,OUT027,3170.806463185729
FDX27,OUT017,1637.4061162241633
DRM37,OUT045,3056.49452112037
FDA38,OUT045,3636.446865774872
FDR36,OUT046,681.729969955406
FDZ45,OUT046,3123.008550399096
FDG05,OUT017,2679.4768649942034
FDK28,OUT013,4153.862068016215
FDV47,OUT045,1320.975424883374
FDN21,OUT045,2458.7359397240207
FDP20,OUT027,3657.450217542756
FDI35,OUT045,2817.7534226383377
DRY23,OUT013,665.8384791542533
FDA56,OUT017,2148.15181465592
FDB09,OUT013,2079.6336432422277
NCO26,OUT027,3329.409293751417
FDQ49,OUT018,2361.6300309535486
FDI52,OUT027,3431.507901715911
FDZ44,OUT027,3416.6920209217146
FDZ09,OUT018,2357.4995344745976
FDY03,OUT049,1967.7798741948704
NCG42,OUT017,2099.255818189136
DRI13,OUT027,4945.904746569581
FDQ32,OUT013,2155.6934697654897
FDW16,OUT035,1647.626353596066
FDU27,OUT046,805.8371314296771
FDR28,OUT010,711.4367376838113
FDQ49,OUT010,703.6207224416812
FDS37,OUT046,1857.7211653898926
FDW26,OUT018,3242.6948850094786
FDX12,OUT018,3630.593006774683
NCP06,OUT013,2434.5496138329713
FDW45,OUT010,385.5755646208245
NCN30,OUT049,1584.7960691386484
FDN24,OUT049,957.2770723382112
NCL41,OUT027,2024.3890462463596
FDR02,OUT019,-181.04808633801667
FDD09,OUT010,1010.8037629132156
FDS33,OUT010,-483.1734337203361
FDU22,OUT045,1816.2901347615134
FDI53,OUT013,2670.35798730475
DRH01,OUT049,2871.52563990272
FDX32,OUT013,2419.282720996721
NCP30,OUT018,395.5651436145929
FDB60,OUT045,3044.8226245903625
FDB14,OUT049,1629.4339089045588
NCP02,OUT035,1069.9569052959964
FDJ10,OUT017,2382.2174949212317
FDG34,OUT046,1787.4385743921243
NCB18,OUT017,1513.102673465732
FDM16,OUT049,1330.3228391815583
FDW25,OUT018,1137.5360228511045
FDB35,OUT010,-411.7322982551882
DRN11,OUT013,2294.589341590454
FDF41,OUT019,2002.9176131458535
FDH16,OUT045,1339.4605127927093
NCQ50,OUT018,3105.236169165818
DRH23,OUT018,640.8048576289746
DRJ37,OUT013,2479.5503422211777
DRJ24,OUT027,4408.069711723529
FDY16,OUT035,3088.3926291663265
FDQ27,OUT045,1684.3481339743944
FDZ33,OUT045,2269.3243927248445
FDF29,OUT045,2056.918706243903
FDA08,OUT049,2771.7799980131786
FDG31,OUT046,1086.0752122878132
FDE34,OUT019,1106.571808682527
NCR30,OUT027,2646.9016951951617
FDV33,OUT035,4266.034549442145
DRZ24,OUT018,1694.9026517835798
NCL54,OUT035,2872.2372423058064
FDR12,OUT049,2887.352338389031
NCC54,OUT046,3787.9613748733154
DRN59,OUT013,793.9479807071687
FDX50,OUT019,-184.06305090343994
FDV31,OUT027,4360.929138605505
NCA29,OUT027,4207.929860527605
FDW60,OUT049,2954.427509154304
FDX08,OUT017,3080.70688682093
DRD49,OUT013,3787.39575821145
FDD33,OUT046,3684.5918957288586
FDW35,OUT013,790.9442621832043
FDJ36,OUT017,1811.2559519107679
FDV51,OUT035,2833.8832420742956
FDW36,OUT046,1696.7268009682705
FDH35,OUT046,2614.548468648132
NCS30,OUT027,3540.1555790529824
FDN49,OUT017,856.5640285659533
FDL08,OUT018,3709.114058305059
FDI09,OUT013,4012.6622543027083
FDP19,OUT018,1859.106253730741
FDU21,OUT010,-1346.427485129113
NCP41,OUT045,1636.2904413681028
FDY10,OUT013,1855.2476395378303
FDP12,OUT018,417.3487640695623
NCN26,OUT049,1922.4496302395996
FDK44,OUT013,2798.3254958079146
FDC28,OUT049,1837.352335404316
FDJ41,OUT027,5654.956646450055
NCT29,OUT035,2106.4800225279346
NCH42,OUT019,1693.0353893074653
FDU60,OUT018,2463.281394376556
FDS02,OUT045,2965.5347847790663
FDC51,OUT046,1950.0917461087452
FDU03,OUT013,3028.6593344704934
FDX39,OUT045,3351.6633773335484
NCY05,OUT010,-1324.8156960511205
NCL06,OUT027,5567.025718087591
FDD32,OUT035,1533.9435761133066
NCN41,OUT045,1866.8925963715042
NCX53,OUT049,2335.3104844609115
FDU57,OUT019,500.8665880814974
FDQ23,OUT046,1676.910168960728
FDQ52,OUT045,3848.579516958226
FDC14,OUT045,637.7153721384534
FDY09,OUT035,2952.2975316104803
FDQ28,OUT045,2444.4182655372356
FDV25,OUT046,3427.1772028722435
FDJ07,OUT035,2053.239355168601
DRB25,OUT049,1785.3638090314494
FDK52,OUT019,1660.599789582802
FDY52,OUT027,2519.083400818092
FDB28,OUT046,3073.079767723014
FDT36,OUT035,750.6480323110206
FDV25,OUT017,3665.4606600437346
NCN07,OUT027,3554.071972512763
FDC57,OUT017,3279.3458685557935
FDQ03,OUT018,3580.7989915317503
FDU23,OUT017,2812.0336132273915
NCX41,OUT035,3509.6621940744794
NCD06,OUT035,880.4069320210344
FDW08,OUT045,1589.9705251474977
NCU29,OUT017,2358.107210661969
NCE06,OUT013,2591.255237869816
FDV52,OUT010,-22.713569474766246
FDB02,OUT017,2989.832441568179
NCR18,OUT045,605.5949503310296
FDK16,OUT049,1615.7801024950072
NCQ29,OUT010,2143.8862117378653
FDZ01,OUT019,-178.9010292762764
FDW27,OUT035,2706.5743908037107
FDD17,OUT018,3534.8409679856286
FDW39,OUT013,2948.287087584353
DRH59,OUT045,1061.7402379449493
FDS52,OUT013,1702.9581352754303
FDU40,OUT027,4585.694605242628
NCF54,OUT013,2793.305534898148
FDH46,OUT045,1600.5977136040883
NCP14,OUT049,1713.744638306246
FDH50,OUT049,3089.2801349363035
DRF15,OUT010,484.5424798013189
FDV27,OUT027,2969.251137077449
NCJ06,OUT049,1982.5440605888152
FDN02,OUT018,3030.501454119303
FDQ51,OUT049,925.3872280077596
FDQ07,OUT017,3737.3871517083244
FDS45,OUT049,1669.6297075723128
NCJ06,OUT045,1829.2619991655079
FDD36,OUT035,2038.4640618528538
FDY25,OUT045,2837.6043340792985
FDU52,OUT046,2446.4252313664433
DRK47,OUT017,3617.468419527722
NCL30,OUT017,2148.778982509446
FDN22,OUT035,4145.347737639624
NCF30,OUT027,3460.2003016965227
